Convergence Time,Periodic,Block,Bee Hive,Loaf,Boat,Ship,Tub,Pond,Long Boat,Ship Tie,Barge,Blinker,Eater,Hat,Integral,Boat Tie,Loop,Elevener,Mirrored Table,Sesquihat,Fourteener,Paperclip,Moose Antlers,Mirrored Cap,Scorpion,Twin Hat,Spiral,Toad,Beacon,Glider,Catfish
4189,False,639,375,115,98,14,16,26,4,2,4,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
5522,False,653,336,106,105,17,23,27,9,1,2,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
2996,False,645,330,115,105,17,30,15,8,5,1,632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
8875,False,646,358,109,108,20,21,22,6,6,2,603,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
5509,False,608,348,121,109,12,22,18,2,0,1,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
5934,False,609,330,125,109,13,24,20,6,1,2,628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
6068,False,628,358,113,108,15,14,24,5,2,2,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1
6486,False,665,413,106,115,12,32,14,4,3,1,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
5994,False,621,372,102,112,17,22,24,11,4,5,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
7358,False,641,347,117,96,10,19,20,3,1,0,588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
2818,False,639,333,110,115,18,28,31,4,2,1,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
6052,False,626,376,127,108,19,25,21,4,7,2,673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
3657,False,615,365,117,124,14,29,26,10,6,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
5408,False,642,380,132,133,9,21,17,9,2,1,641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
8340,False,610,391,107,111,19,22,22,5,0,1,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
3901,False,643,343,119,119,17,22,24,6,3,1,645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
7678,False,670,356,92,90,8,25,22,8,2,2,586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0
5994,False,636,365,119,94,14,18,21,9,0,1,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
5781,False,623,342,110,97,10,22,20,8,3,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0
5490,False,613,359,110,105,19,23,25,6,3,1,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6306,False,664,386,123,105,12,25,23,4,0,2,645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1
6485,False,599,379,128,108,17,19,25,6,1,1,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
8958,False,592,396,121,105,11,20,16,11,2,1,632,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,3,1,0
6260,False,616,370,110,94,18,43,21,7,0,1,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1
5463,False,614,349,110,113,18,19,19,4,10,4,654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
4075,False,616,366,107,87,22,24,24,4,5,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
13443,False,638,379,129,111,18,33,19,4,1,2,659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
7901,False,628,362,101,89,13,31,20,7,0,0,725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
7795,False,619,350,99,93,24,25,22,8,1,2,624,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
11038,False,629,412,97,108,23,19,21,7,3,1,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3
8319,False,648,373,124,120,9,20,31,8,1,3,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0
5248,False,611,395,123,120,20,29,29,7,6,2,671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
5082,False,626,410,121,105,18,23,23,6,4,2,616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
4388,False,646,382,101,103,12,25,21,5,3,3,564,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
4070,False,630,359,113,93,11,23,15,6,2,1,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
1735,False,613,369,113,109,13,22,18,8,2,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0
6900,False,586,341,125,93,14,29,22,8,5,2,630,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
6846,False,663,360,111,105,12,21,19,5,0,2,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
3488,False,644,373,107,112,11,27,22,9,3,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
5310,False,635,346,111,101,13,24,23,2,0,0,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
4845,False,650,361,106,93,20,20,26,6,4,1,587,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6535,False,654,382,101,108,12,30,32,10,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
4962,False,603,368,106,112,10,20,23,7,5,4,636,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,1
6379,False,637,373,110,102,16,13,21,6,0,2,669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0
6365,False,655,371,126,102,14,24,17,7,2,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
3231,False,627,393,104,106,12,22,27,8,2,0,614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
6931,False,634,377,108,111,11,22,17,8,3,3,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
10571,False,625,358,110,98,16,27,26,4,2,2,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
4583,False,653,360,116,93,15,13,21,8,3,1,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
4062,False,625,404,97,91,12,28,17,5,2,3,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
5477,False,635,394,132,109,13,29,22,4,3,2,616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
4020,False,664,340,108,107,21,20,29,6,2,2,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1
5144,False,666,336,107,104,13,33,25,6,5,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
4781,False,587,361,132,92,15,22,20,8,1,1,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0
2992,False,565,356,109,115,22,25,18,6,3,2,610,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0
5598,False,607,362,111,106,20,12,21,7,2,3,651,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
6869,False,619,329,123,117,11,22,14,8,2,2,668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
5633,False,628,356,90,102,15,33,24,7,1,1,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
7789,False,656,354,94,114,20,17,30,3,5,2,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
5441,False,639,356,116,112,17,26,17,7,3,4,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1
5374,False,650,410,97,99,6,21,24,9,1,2,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
4270,False,618,352,125,122,16,26,27,1,0,2,618,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
4942,False,683,398,120,110,12,31,29,7,3,2,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5993,False,653,367,130,110,20,31,16,3,2,0,589,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0
5161,False,667,384,119,95,16,17,32,8,2,3,574,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,1,0,0
3754,False,680,367,113,111,13,34,20,7,2,1,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
6269,False,591,369,109,116,14,29,24,9,0,4,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
11789,False,629,374,94,122,17,29,17,4,1,3,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
4243,False,636,353,128,116,16,12,16,10,2,1,639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
5696,False,623,377,107,106,18,19,20,6,1,0,564,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2
2738,False,653,371,140,120,22,28,22,11,3,1,608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3026,False,603,356,107,105,18,23,34,5,0,4,665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
6677,False,647,378,115,110,18,20,17,6,0,4,669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0
4323,False,628,357,111,112,19,24,25,3,0,0,611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0
4582,False,624,325,117,113,18,24,24,7,2,4,642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
5330,False,626,395,123,100,10,19,16,8,3,2,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
5667,False,628,358,117,99,17,26,15,6,3,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2
2673,False,607,331,96,117,15,32,33,9,0,2,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0
5139,False,594,418,123,107,13,25,21,10,2,3,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
6801,False,660,338,111,111,18,27,21,7,4,2,579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5793,False,669,361,108,135,13,29,26,10,1,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
6548,False,650,349,101,111,18,21,31,5,6,3,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
7970,False,651,386,127,109,17,21,16,13,0,1,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0
4609,False,610,374,124,92,13,23,17,6,1,0,637,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1
9036,False,594,377,92,126,14,17,17,6,3,2,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1
4284,False,630,392,115,96,14,25,22,5,4,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
3770,False,576,375,109,94,15,34,20,7,0,1,708,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0
11344,False,598,372,129,102,10,24,27,5,2,2,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0
5789,False,642,358,103,113,18,29,25,4,2,2,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2
6215,False,671,375,115,98,18,25,26,9,2,1,634,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
6991,False,659,330,123,106,12,14,18,11,3,0,632,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1
4912,False,632,387,117,122,24,19,13,4,0,2,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1
3832,False,646,334,109,93,15,21,26,7,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0
10513,False,633,351,129,109,10,18,16,6,2,1,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1
3738,False,625,369,99,115,14,15,16,8,1,3,672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1
4236,False,649,353,105,99,18,16,23,13,2,4,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
6150,False,582,364,112,123,13,25,22,8,8,2,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
5542,False,633,336,119,113,16,22,22,6,0,0,608,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0
5540,False,646,388,113,112,9,24,27,5,3,2,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
5846,False,619,368,99,100,12,14,27,6,1,2,617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0
