Convergence Time,Periodic,Block,Bee Hive,Loaf,Boat,Ship,Tub,Pond,Long Boat,Ship Tie,Barge,Blinker,Eater,Hat,Integral,Boat Tie,Loop,Elevener,Mirrored Table,Sesquihat,Fourteener,Paperclip,Moose Antlers,Mirrored Cap,Scorpion,Twin Hat,Spiral,Toad,Beacon,Glider,Catfish
10097,True,616,407,132,99,18,19,25,8,0,2,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
9002,True,631,356,99,94,12,27,25,6,5,4,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
4259,True,618,366,111,101,10,18,19,4,2,1,581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
5149,True,633,394,119,103,16,20,22,8,2,2,571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
4365,True,607,382,128,106,9,20,21,5,0,1,574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0
430,True,520,290,95,88,11,18,19,4,2,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,17,0
6792,True,591,365,114,105,16,35,18,7,0,2,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
4765,True,630,330,111,125,18,25,18,9,2,1,625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
7113,True,601,354,104,108,12,23,18,7,1,1,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
10783,True,580,366,96,117,18,29,20,8,2,1,629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
4917,True,629,346,116,114,16,22,19,6,4,2,615,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
8155,True,620,363,124,123,16,22,25,7,0,4,624,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0
6211,True,619,360,111,95,14,28,21,6,0,1,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
4968,True,627,331,119,108,11,27,25,5,2,1,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
5448,True,585,335,97,120,11,25,20,7,6,1,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
3303,True,601,350,122,87,12,19,21,7,7,1,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
7934,True,603,380,95,106,9,20,22,14,6,0,666,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0
3826,True,650,380,110,98,8,29,23,7,2,2,609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
8045,True,660,374,117,96,18,15,22,5,1,1,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5350,True,603,339,114,104,11,23,14,6,1,1,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
4244,True,602,361,114,109,12,29,19,8,2,2,613,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
10970,True,596,388,117,92,19,23,22,6,3,1,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
5047,True,608,332,118,107,18,15,23,8,3,1,591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
5199,True,632,335,108,100,9,27,23,8,4,3,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1
5226,True,570,379,102,108,15,24,25,8,2,1,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
11713,True,590,404,107,105,14,32,22,11,11,1,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
7919,True,608,350,114,114,22,22,10,4,2,2,564,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7495,True,615,301,94,99,9,28,19,2,0,1,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
9703,True,612,362,110,136,15,31,21,14,3,2,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1
8530,True,579,369,111,110,14,22,18,6,2,1,646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
7186,True,619,362,87,97,13,19,24,5,2,3,592,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,0
3538,True,587,398,104,106,15,23,17,8,1,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0
6076,True,562,352,117,122,12,21,16,4,1,0,667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0
6944,True,640,339,114,90,7,20,22,2,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
11113,True,629,328,132,96,18,16,15,3,4,0,645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
4256,True,631,351,110,97,6,18,23,7,4,3,639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9402,True,640,342,100,116,12,20,27,10,0,1,597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
7545,True,626,377,115,114,12,21,19,9,2,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
7540,True,598,320,95,115,18,30,22,7,1,1,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
5576,True,599,345,122,112,13,24,22,3,9,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
9559,True,637,357,106,105,14,17,22,11,0,1,665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2
4957,True,591,376,110,113,9,25,23,6,2,1,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
8345,True,594,357,110,106,12,27,12,8,2,3,661,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
4338,True,628,377,120,100,16,30,18,5,2,0,613,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
7714,True,596,366,116,121,15,15,18,9,0,1,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
3402,True,591,350,117,89,17,23,21,9,0,1,606,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0
12335,True,589,357,100,121,14,21,25,7,0,2,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
12739,True,622,386,97,116,7,25,19,9,1,1,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0
5277,True,620,402,114,109,13,22,21,7,4,2,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
5111,True,666,367,119,104,17,27,20,7,2,2,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1
12322,True,627,356,114,94,14,20,15,5,1,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
4187,True,601,380,99,117,13,20,24,7,1,6,641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0
3930,True,623,370,106,121,12,21,20,7,3,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
2199,True,616,353,107,95,16,29,22,12,3,3,607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
5979,True,601,339,115,86,10,23,28,8,1,3,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
6241,True,605,398,103,94,15,23,18,4,1,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
10689,True,589,366,129,107,9,23,33,10,0,1,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
6461,True,635,354,123,98,11,22,28,8,3,3,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0
7227,True,599,371,101,89,12,19,23,4,0,1,662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
9498,True,563,377,123,110,9,23,22,6,4,4,623,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1
5953,True,627,338,100,123,16,17,25,3,5,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
7582,True,590,377,125,95,15,20,19,8,0,1,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1
8377,True,601,367,119,110,18,18,28,6,5,1,633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
5228,True,642,344,107,97,11,22,13,7,1,1,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0
5556,True,651,344,135,116,16,27,18,10,2,1,618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2
5510,True,629,358,122,117,14,18,20,7,1,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
4777,True,608,352,107,92,13,22,23,10,6,0,664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0
6231,True,647,364,107,105,17,18,20,7,2,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5585,True,643,336,106,116,17,21,20,2,1,1,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
7722,True,597,390,105,114,22,28,15,10,0,1,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0
7631,True,624,383,93,93,15,26,19,4,1,4,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0
9559,True,637,405,104,98,21,18,21,5,0,1,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
9152,True,628,405,129,100,14,22,17,8,0,1,637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
6526,True,596,352,111,113,14,22,22,8,0,3,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
4583,True,670,344,108,93,15,24,20,6,4,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
6543,True,619,363,119,100,12,31,14,7,5,0,653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
4779,True,633,350,120,86,14,24,13,11,2,2,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0
8551,True,610,343,106,94,11,21,18,5,3,1,646,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4242,True,627,377,115,98,7,26,22,11,6,1,600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
5051,True,589,397,122,111,13,17,21,5,5,2,609,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1
6293,True,642,340,107,94,14,19,20,4,1,1,643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
8200,True,648,366,107,95,15,25,23,5,1,1,650,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0
6555,True,625,337,115,108,18,27,17,6,6,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
6918,True,631,354,95,116,12,15,30,7,5,1,677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
5366,True,598,391,141,94,12,19,16,10,0,2,638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
9675,True,602,349,112,99,18,18,28,8,1,1,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
8686,True,615,349,112,102,10,21,20,4,2,2,677,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
5512,True,592,380,121,104,12,14,22,7,2,1,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
5764,True,596,395,106,93,18,28,28,3,0,3,569,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
3318,True,639,356,112,98,15,15,21,8,5,3,687,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,8,1,2,0
2305,True,597,372,111,92,11,21,18,8,4,2,577,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,6,0
6287,True,619,387,103,104,13,28,28,8,2,2,629,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0
4546,True,621,325,98,112,16,21,25,7,1,4,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0
7810,True,613,386,120,102,25,25,21,7,4,2,606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
5442,True,609,347,119,111,13,20,15,4,3,4,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
